All data;All data;All data;Young adults;Young adults;Young adults;Middle adults;Middle adults;Middle adults;Older adults;Older adults;Older adults
Total;First;Rank (SD);Total;First;Rank (SD);Total;First;Rank (SD);Total;First;Rank (SD)
A bird;Blue jay;0.57;0.08;3.82 (2.37);0.60;0.10;3.96 (2.45);0.62;0.09;3.73 (2.55);0.51;0.05;3.76 (2.09)
A bird;Robin;0.50;0.23;2.59 (2.11);0.37;0.10;3.32 (2.41);0.53;0.24;2.71 (2.24);0.60;0.35;2.04 (1.63)
A bird;Eagle;0.45;0.09;4.08 (2.50);0.43;0.11;3.91 (2.57);0.46;0.06;4.00 (2.23);0.48;0.11;4.30 (2.71)
A bird;Cardinal;0.42;0.08;3.69 (2.49);0.42;0.08;4.05 (2.46);0.38;0.05;4.30 (2.77);0.46;0.12;2.89 (2.12)
A bird;Sparrow;0.39;0.05;4.06 (2.43);0.33;0.06;3.88 (2.37);0.46;0.03;4.72 (2.56);0.40;0.07;3.50 (2.23)
A bird;Hawk;0.33;0.02;4.66 (2.28);0.25;0.04;3.76 (2.41);0.35;0.03;5.32 (2.39);0.39;0.01;4.66 (1.96)
A bird;Crow;0.30;0.03;4.61 (2.50);0.22;0.02;4.38 (2.40);0.38;0.03;4.83 (2.70);0.31;0.04;4.50 (2.39)
A bird;Pigeon;0.23;0.02;4.52 (2.38);0.29;0.05;4.28 (1.69);0.24;-;3.73 (2.85);0.18;0.01;2.85 (1.84)
A bird;Parrot;0.23;0.08;3.76 (2.76);0.30;0.08;3.41 (3.06);0.24;0.10;5.84 (2.92);0.17;0.06;4.60 (1.70)
A bird;Hummingbird;0.18;0.04;3.58 (2.56);0.18;0.02;3.20 (1.86);0.19;0.05;4.40 (3.42);0.18;0.05;3.13 (2.10)
A bird;Dove;0.17;0.02;4.84 (2.57);0.19;0.04;4.00 (2.42);0.16;0.01;5.69 (2.53);0.17;-;5.00 (2.66)
A bird;Chicken;0.16;0.01;6.64 (3.17);0.20;0.01;6.23 (3.35);0.13;0.01;6.40 (3.17);0.14;-;7.41 (3.06)
A bird;Finch;0.15;0.01;4.54 (2.05);0.17;0.02;3.92 (1.90);0.14;-;5.63 (2.50);0.14;-;4.25 (1.42)
A bird;Duck;0.14;0.01;5.47 (3.45);0.18;0.01;5.60 (3.78);0.09;-;6.14 (4.10);0.14;0.02;4.91 (2.78)
A bird;Raven;0.13;0.01;4.76 (2.69);0.11;-;4.55 (1.81);0.19;0.03;4.66 (3.22);0.11;0.01;5.11 (2.71)
A bird;Woodpecker;0.13;-;5.00 (2.09);0.13;-;5.54 (2.25);0.14;0.01;4.63 (2.20);0.12;-;4.80 (1.87)
A bird;Owl;0.12;0.02;5.20 (3.45);0.19;0.06;4.25 (3.86);0.09;-;7.00 (3.16);0.08;-;5.57 (1.99)
A bird;Wren;0.12;0.02;4.41 (2.97);0.05;0.01;4.00 (2.45);0.15;0.05;4.91 (3.92);0.15;0.01;4.07 (2.14)
A bird;Ostrich;0.12;0.01;5.62 (2.87);0.14;0.02;5.00 (3.30);0.14;-;6.18 (2.52);0.07;-;5.83 (2.79)
A bird;Parakeet;0.11;-;4.46 (2.35);0.12;0.01;5.20 (2.78);0.11;-;4.00 (2.45);0.11;-;4.11 (1.69)
