wpm_under_1|f,n.adjective.senses|f,n.auxiliary verb.senses|f,coltNOrth|f,nPhon|f,coltNPhon|f,isIllegal|f,nMeaningWordsmyth|s,n.imperative verb.senses|f,n.suffix.senses|f,word,delete|f,n.definite article.senses|f,derived_period|f,word|f,legalUni|f,n.conjunction.senses|f,pld20|f,NphonOnsetNeighbour|f,n.prefix.senses|f,PhonOffsetNeighbours|f,isHomophone|f,old20|f,n.adverb.senses|f,n.plural pronoun.senses|f,nSyll|f,n.intransitive verb.senses|f,phonology|s|f,n.plural noun.senses|f,legalBigram|f,derived_capitalization|f,SUBTLwf|f,n.indefinite article.senses|f,wpm_over_100|f,posBigram|f,in_edom|f,n.abbreviation.senses|f,n.transitive verb.senses|f,n.senses|f,n.foreign phrase.senses|f,isDuplicate|f,n.interjection.senses|f,posUni|f,lowerMostFreq|f,PhonOneCharPerPhonemeNoStress|f,type|f,n.phrase.senses|f,n.meanings|f,derived_verbal|f,derived_unknown|f,nSenseWordsmyth|s,cat|s,n.contraction.senses|f,phonOnsetNeighbours|f,n.preposition.senses|f,n.noun.senses|f,isHomograph|f,phonNeighbours|f,orthNeighbours|f,NphonOffsetNeighbours|f,n.pronoun.senses|f,n.verb.senses|f,nLet|f
0,1,0,0,6,0,0,1,0,0,lifelong,1,0,0,lifelong,1,0,3.3,0,0,,0,3,0,0,2,0,l|ay1|f|-|l|ao1|ng,0,1,0,1.509803922,0,0,435,0,0,0,1,0,0,0,1713,1,l5fl3î,monoseme,0,1,0,0,1,M,0,,0,0,0,,0,0,0,0,8
0,0,0,0,4,1,0,1,0,0,courier,1,0,0,courier,1,0,1.95,0,0,|k9èn,0,2.05,0,0,3,0,k|er1|-|iy0|-|er0,0,1,0,3.294117647,0,0,481,0,0,0,1,0,0,0,2699,1,k9è9,monoseme,0,1,0,0,1,M,0,,0,1,0,|k9èn,0,1,0,0,7
0,0,0,7,3,8,0,1,0,0,keg,1,0,0,keg,1,0,1.55,5,0,|k8r|k8m|k8n,0,1.6,0,0,1,0,k|eh1|g,0,1,0,3.431372549,0,0,9,0,0,0,2,0,0,0,159,1,k8g,polyseme,0,1,0,0,2,P,0,|b8g|l8g|m8g|p8g|r8g,0,2,0,|b8g|l8g|m8g|p8g|r8g|k8r|k8m|k8n,|reg|meg|peg|beg|leg|ken|key,3,0,0,3
0,0,0,0,9,0,0,1,0,0,aristocrat,1,0,0,aristocrat,1,0,5.05,0,0,,0,4.2,0,0,4,0,er0|-|ih1|-|s|t|ah0|-|k|r|ae2|t,0,1,0,1.352941176,0,0,48,0,0,0,3,0,0,0,615,1,9ést2kr1t,polyseme,0,1,0,0,3,P,0,,0,3,0,,0,0,0,0,10
0,0,0,0,6,1,0,1,0,0,violate,1,0,0,violate,1,0,2.25,0,0,,0,2.35,0,0,3,0,v|ay1|-|ah0|-|l|ey0|t,0,1,0,2.392156863,0,0,120,0,0,4,4,0,0,0,1476,1,v52lÛt,polyseme,0,1,0,0,4,P,0,,0,0,0,|v52lét,0,0,0,0,7
0,0,0,0,7,0,0,1,0,0,novelty,1,0,0,novelty,1,0,2.8,0,0,,0,2.7,0,0,3,0,n|aa1|-|v|ah0|l|-|t|iy0,0,1,0,1.666666667,0,0,82,0,0,0,3,0,0,0,1233,1,n0v2ltè,polyseme,0,1,0,0,3,P,0,,0,3,0,,0,0,0,0,7
0,0,0,0,5,2,0,1,0,0,pirate,1,0,0,pirate,1,0,1.85,0,0,,0,1.9,0,0,2,1,p|ay1|-|r|ah0|t,0,1,0,7.352941176,0,0,121,0,0,3,7,0,0,0,1696,1,p5r2t,polyseme,0,1,0,0,7,P,0,,0,3,0,|p8r2t|p5l2t,0,0,0,0,6
0,0,0,0,8,0,0,1,0,0,screenplay,1,0,0,screenplay,1,0,4.3,0,0,,0,4.35,0,0,2,0,s|k|r|iy1|n|-|p|l|ey2,0,1,0,2.607843137,0,0,57,0,0,0,1,0,0,0,777,1,skrènplÛ,monoseme,0,1,0,0,1,M,0,,0,1,0,,0,0,0,0,10
0,0,0,0,7,0,0,1,0,0,gasoline,1,0,0,gasoline,1,0,2.8,0,0,,0,2.9,0,0,3,0,g|ae1|-|s|ah0|-|l|iy2|n,0,1,0,6.529411765,0,0,529,0,0,0,1,0,0,0,2272,1,g1s2lèn,monoseme,0,1,0,0,1,M,0,,0,1,0,,0,0,0,0,8
0,0,0,1,5,0,0,1,0,0,fringe,1,0,0,fringe,1,0,1.8,0,0,,0,1.85,0,0,1,0,f|r|ih1|n|jh,0,1,0,1.666666667,0,0,163,0,0,2,5,0,0,0,1334,1,frénê,polyseme,0,1,0,0,5,P,0,,0,3,0,,|fridge,0,0,0,6
