,Word,Conc.M,Conc.SD
0,aardvark,4.68,0.86
1,abacus,4.52,1.12
2,abandoner,2.5,1.5
3,abandonment,2.54,1.29
4,abatement,1.92,1.29
5,abbreviation,3.07,1.51
6,abdomen,4.7,0.67
7,abductee,3.27,1.44
8,abduction,3.07,1.47
9,abductor,3.89,1.37
10,ability,1.81,0.88
11,abnormality,2.48,1.33
12,abode,3.92,1.38
13,abolition,2.43,1.5
14,abolitionism,1.86,0.93
15,abolitionist,3.28,1.51
16,abomination,2.23,1.24
17,abortion,3.41,1.39
18,abortionist,3.19,1.47
19,aboveboard,2.8,1.47
20,abracadabra,2.04,1.43
21,abrasion,4.57,0.88
22,abrasiveness,2.72,1.31
23,abridge,2.77,1.53
24,abruptness,2.04,1.02
25,abscess,4.48,0.8
26,absence,2.31,1.35
27,absentee,3.29,1.38
28,absenteeism,2.35,1.47
29,absentmindedness,1.75,1.11
30,absoluteness,1.5,1.04
31,absolution,1.78,1.05
32,absorber,2.96,1.43
33,absorption,3.22,1.48
34,abstention,2.16,1.28
35,abstinence,1.72,1.28
36,abstinent,1.77,1.18
37,abstraction,1.57,1.0
38,abstractionist,2.52,1.66
39,absurdity,1.25,0.59
40,abundance,2.21,1.2
41,abuse,2.71,1.27
42,abuser,3.86,1.51
43,abusiveness,1.84,1.18
44,abyss,3.07,1.7
45,academia,2.12,1.26
46,academy,4.29,1.12
47,accelerant,3.4,1.35
48,acceleration,2.97,1.3
49,accelerator,4.32,1.06
50,accent,3.26,1.16
51,acceptance,2.21,1.26
52,acceptant,2.08,1.26
53,access,2.71,1.44
54,accessibility,2.3,1.23
55,accessory,4.1,1.16
56,accident,3.26,1.48
57,acclaim,2.04,1.21
58,acclamation,2.23,1.14
59,acclimatization,1.83,0.96
60,accolade,2.46,1.32
61,accommodation,2.96,1.19
62,accompaniment,2.26,1.02
63,accomplice,3.34,1.37
64,accomplishment,2.5,1.37
65,accord,1.57,1.04
66,accordion,4.86,0.59
67,account,3.08,1.52
68,accountability,1.55,0.99
69,accountancy,1.68,1.02
70,accountant,4.41,0.91
71,accounting,3.27,1.66
72,accreditation,2.68,1.39
73,accumulation,2.97,1.43
74,accumulator,2.64,1.15
75,accuracy,1.85,1.23
76,accusation,2.38,1.24
77,accuser,3.44,1.58
78,ace,3.92,1.47
79,acetaminophen,3.8,1.76
80,acetone,4.42,1.03
81,acetylene,3.58,1.74
82,ache,3.43,1.45
83,achievement,2.37,1.5
84,achiness,2.54,1.36
85,acid,4.25,1.0
86,acidity,3.4,1.35
87,acknowledgement,2.62,1.42
88,acne,4.89,0.32
89,acorn,4.96,0.19
90,acoustics,3.12,1.24
91,acquaintance,3.41,1.18
92,acquirer,2.52,1.27
93,acquisition,2.6,1.41
94,acquit,2.13,1.17
95,acquittal,2.38,1.32
96,acre,4.18,1.22
97,acrobat,4.46,0.88
98,acrobatics,4.36,0.95
99,acronym,2.64,1.52
100,acrophobia,2.32,1.49
101,action,2.86,1.36
102,activation,2.41,1.31
103,activator,3.14,1.56
104,activism,1.79,1.08
105,activist,3.34,1.59
106,activity,2.72,1.4
107,actor,4.57,0.9
108,actress,4.54,0.84
109,acts,3.29,1.61
110,actuality,1.96,1.34
111,actualization,1.59,0.97
112,acupressure,3.53,1.28
113,acupuncture,3.83,1.23
114,acupuncturist,4.56,1.01
115,acuteness,2.41,1.24
116,ad,4.46,1.14
117,adage,1.86,0.94
118,adaptability,1.38,0.75
119,adaptation,2.04,0.96
120,adapter,3.82,1.09
121,adaption,2.4,1.35
122,adaptor,4.04,1.09
123,addendum,3.44,1.45
124,addict,3.14,1.38
125,addiction,2.85,1.41
126,addictiveness,1.78,1.15
127,address,3.89,1.26
128,addressee,3.16,1.6
129,adeptness,1.89,1.19
130,adequacy,1.86,1.08
131,adherence,1.5,0.66
132,adherent,2.45,1.21
133,adhesion,3.32,1.31
134,adhesive,4.35,0.94
135,adjective,2.43,1.4
136,adjournment,2.82,1.33
137,adjudication,2.35,1.32
138,adjunct,2.19,1.2
139,adjustability,2.1,1.09
140,adjuster,3.23,1.42
141,adjustment,2.81,1.33
142,adjustor,3.43,1.55
143,admin,2.96,1.43
144,administration,2.78,1.45
145,administrator,3.89,1.25
146,admiral,4.11,1.22
147,admiration,1.86,1.06
148,admirer,2.93,1.25
149,admissibility,1.65,1.06
150,admission,2.83,1.32
151,admittance,2.26,1.51
152,adobe,4.19,1.17
153,adolescence,2.81,1.38
154,adopter,3.33,1.27
155,adoption,3.03,1.45
156,adorability,1.41,0.57
157,adorableness,2.19,1.27
158,adoration,2.19,1.24
159,adornment,2.83,1.47
160,adrenalin,3.17,1.51
161,adrenaline,3.04,1.43
162,adult,4.4,0.87
163,adulterer,2.96,1.6
164,adulteress,3.72,1.39
165,adultery,2.79,1.5
166,adulthood,2.5,1.5
167,advance,2.57,1.26
168,advancement,2.1,1.21
169,advantage,2.0,1.12
170,advent,2.48,1.19
171,adventure,2.59,1.42
172,adventurer,3.73,1.28
173,adventuress,2.54,1.35
174,adventurist,2.35,1.53
175,adventurousness,1.62,0.65
176,adverb,2.25,1.53
177,adversary,2.93,1.16
178,adversity,1.44,0.75
179,advert,3.08,1.68
180,advertisement,3.77,1.45
181,advertiser,3.93,1.23
182,advertising,3.88,0.95
183,advice,2.73,1.2
184,advisee,3.77,1.39
185,advisement,2.52,1.53
186,adviser,3.67,1.4
187,advisor,4.15,0.95
188,advocacy,2.0,1.22
189,advocate,2.72,1.49
190,aeration,2.77,1.28
191,aerial,3.04,1.6
192,aerialist,3.84,1.34
193,aerobatics,3.15,1.41
194,aerobics,3.72,1.17
195,aerodynamics,2.96,1.48
196,aeronautics,3.08,1.6
197,aerosol,4.23,1.07
198,aerospace,3.19,1.41
199,aesthetics,2.22,1.15
200,affability,1.54,0.78
201,affair,2.45,1.27
202,affectation,1.96,1.27
203,affection,2.22,1.53
204,affidavit,4.0,1.49
205,affiliate,2.5,1.4
206,affiliation,1.93,1.05
207,affirmation,2.12,0.95
208,affirmative,1.93,0.92
209,affliction,2.27,1.17
210,affluence,2.15,1.22
211,affordability,1.93,1.03
212,affront,1.83,1.1
213,aficionado,2.55,1.18
214,afro,4.52,0.95
215,afterbirth,4.57,0.92
216,afterburner,3.65,1.52
217,aftercare,3.15,1.35
218,aftereffect,2.5,1.26
219,afterglow,3.1,1.18
220,afterlife,1.9,1.32
221,aftermarket,3.58,1.45
222,aftermath,1.97,1.12
223,afternoon,3.7,1.49
224,afternoons,2.86,1.41
225,afterschool,3.19,1.39
226,aftershave,4.56,0.89
227,aftershock,3.68,0.98
228,aftertaste,2.59,1.5
229,afterthought,2.04,1.25
230,afterworld,1.41,0.89
231,age,2.86,1.53
232,ageism,1.88,1.21
233,agency,3.87,1.23
234,agenda,2.66,1.32
235,agent,3.61,1.34
236,aggravation,1.53,0.78
237,aggregate,2.14,1.35
238,aggregation,2.16,1.18
239,aggression,2.68,1.25
240,aggressiveness,2.59,1.19
241,aggressor,3.29,1.27
242,agility,2.38,1.4
243,agitation,2.33,1.39
244,agitator,3.28,1.56
245,agnostic,2.0,1.47
246,agony,2.38,1.47
247,agoraphobia,1.92,1.26
248,agreement,2.22,1.15
249,agriculturalist,4.07,1.15
250,agriculture,3.67,1.44
251,ahoy,2.0,1.21
252,aid,3.1,1.47
253,aide,3.59,1.21
254,aides,3.75,1.32
255,aids,3.44,1.34
256,ailment,2.93,1.39
257,air,4.11,1.22
258,airbag,4.81,0.63
259,airbase,4.29,1.21
260,airboat,4.82,0.77
261,airbrush,4.45,0.91
262,aircraft,4.4,1.12
263,aircraftsman,4.0,1.2
264,airfare,3.93,1.25
265,airfield,4.7,0.56
266,airflow,3.59,1.24
267,airhead,2.48,1.4
268,airiness,2.24,1.05
269,airlift,3.62,1.52
270,airline,4.0,1.39
271,airliner,4.45,1.27
272,airmail,3.66,1.47
273,airplane,4.96,0.19
274,airplay,3.19,1.2
275,airport,4.87,0.43
276,airship,4.92,0.27
277,airsickness,3.27,1.31
278,airspace,3.58,1.33
279,airspeed,3.04,1.28
280,airstream,3.93,0.98
281,airstrike,3.59,1.45
282,airstrip,4.68,0.56
283,airtime,2.5,1.2
284,airwave,3.11,1.48
285,airway,4.34,0.97
286,aisle,4.35,1.06
287,alabaster,3.81,1.41
288,alarm,4.47,0.78
289,alarmist,2.62,1.47
290,albacore,3.71,1.63
291,albatross,4.81,0.79
292,albino,4.41,1.02
293,album,4.69,0.68
294,alchemist,4.23,1.07
295,alchemy,2.1,1.32
296,alcohol,4.76,0.51
297,alcoholic,3.37,1.5
298,alcoholism,2.93,1.25
299,alcove,4.08,1.21
300,ale,4.65,0.63
301,alehouse,4.4,1.08
302,alertness,2.15,1.23
303,alfalfa,4.69,0.74
304,algae,4.93,0.27
305,algebra,3.14,1.35
306,algorithm,3.07,1.63
307,alias,2.86,1.79
308,alibi,2.57,1.43
309,alienation,1.73,0.92
310,aliens,3.86,1.3
311,alignment,3.26,1.37
312,alimony,3.08,1.5
313,alkaloid,3.38,1.42
314,allegation,1.79,1.03
315,allegiance,1.77,1.01
316,allegory,2.07,1.41
317,allergen,3.93,1.13
318,allergist,4.0,1.17
319,allergy,3.68,1.12
320,alley,4.82,0.48
321,alleyway,4.3,1.15
322,alliance,2.5,1.33
323,allies,3.48,1.25
324,alligator,4.96,0.19
325,alliteration,2.25,1.45
326,allocation,2.32,1.39
327,allotment,2.88,1.45
328,allowance,3.07,1.52
329,alloy,4.29,0.98
330,allure,1.92,1.29
331,allusion,1.58,1.17
332,ally,2.61,1.37
333,almanac,4.44,1.31
334,almightiness,1.34,0.83
335,almond,4.71,0.9
336,aloe,4.83,0.76
337,aloha,2.59,1.64
338,aloneness,1.75,1.03
339,alpaca,4.81,0.57
340,alpha,1.81,1.06
341,alphabet,4.31,1.31
342,altar,4.85,0.61
343,altarpiece,4.54,0.96
344,alteration,3.21,1.32
345,altercation,3.21,1.32
346,alternation,3.0,1.39
347,alternative,2.46,1.5
348,alternator,4.27,1.04
349,altitude,2.96,1.57
350,altruism,1.5,1.19
351,alum,3.96,1.37
352,aluminum,4.88,0.33
353,alumni,3.19,1.55
354,amaretto,4.6,0.91
355,amateurism,1.67,1.04
356,amazement,1.89,1.01
357,ambassador,4.28,1.1
358,ambassadorship,2.68,1.35
359,amber,4.35,1.13
360,ambiance,2.31,1.42
361,ambience,1.72,1.03
362,ambiguity,1.3,0.82
363,ambition,1.74,0.98
364,ambivalence,1.7,0.82
365,ambulance,4.81,0.8
366,ambush,3.16,1.4
367,amendment,2.44,1.39
368,amends,1.92,1.09
369,amethyst,4.09,1.44
370,amino,2.74,1.71
371,ammo,4.85,0.37
372,ammonia,4.44,1.12
373,ammonium,4.04,1.45
374,ammunition,4.88,0.33
375,amnesia,3.61,1.37
376,amnesty,2.18,1.12
377,amoeba,3.77,1.14
378,amorality,1.64,0.91
379,amount,2.74,1.29
380,amp,3.59,1.45
381,amperage,3.08,1.55
382,amphetamine,4.18,1.25
383,amphibian,3.77,1.38
384,amphitheater,4.36,1.13
385,amplification,2.93,1.34
386,amplifier,4.79,0.62
387,amplitude,2.92,1.29
388,amputation,3.76,1.12
389,amputee,4.79,0.42
390,amuck,1.68,0.75
391,amulet,4.0,1.39
392,amusement,2.07,1.21
393,anaconda,4.93,0.26
394,anagram,3.63,1.55
395,anagrams,3.17,1.49
396,analgesic,3.57,1.59
397,analog,2.67,1.49
398,analogy,1.61,0.88
399,analyses,2.04,1.43
400,analysis,2.56,1.45
401,analyst,4.23,1.19
402,analyzer,2.56,1.48
403,anarchism,1.92,1.18
404,anarchist,2.83,1.44
405,anarchy,2.12,1.31
406,anatomist,3.59,1.37
407,anatomy,3.59,1.34
408,ancestor,3.24,1.2
409,ancestors,3.36,1.38
410,ancestry,2.83,1.56
411,anchor,4.77,0.77
412,anchorage,3.48,1.61
413,anchorman,4.72,0.8
414,anchorwoman,4.66,0.72
415,anchovy,4.96,0.19
416,androgyny,2.58,1.41
417,android,4.22,1.15
418,anecdote,2.64,1.42
419,anemia,3.25,1.21
420,anemone,4.24,1.45
421,anesthesia,3.41,1.7
422,anesthesiologist,4.27,1.14
423,anesthetist,3.32,1.44
424,aneurism,3.56,1.47
425,aneurysm,3.79,1.45
426,angel,3.82,1.49
427,angelfish,5.0,0.0
428,anger,2.41,1.32
429,angioplasty,3.52,1.35
430,angle,3.5,1.43
431,angler,4.14,1.3
432,angles,3.59,1.34
433,angleworm,4.48,1.0
434,angst,1.96,1.09
435,anguish,2.38,1.27
436,animal,4.61,0.8
437,animation,3.41,1.42
438,animator,4.0,1.0
439,anime,3.62,1.42
440,animosity,2.11,0.99
441,ankle,4.81,0.79
442,anklebone,4.92,0.27
443,anklet,4.75,0.7
444,annex,4.0,1.24
445,annexation,2.32,1.31
446,annihilation,2.69,1.32
447,anniversary,3.15,1.54
448,announcement,2.79,1.52
449,announcer,4.52,0.8
450,annoyance,2.14,1.25
451,annoyer,3.03,1.38
452,annuity,2.64,1.52
453,annulment,2.25,1.08
454,annunciation,2.0,1.25
455,anomaly,1.79,0.93
456,anonymity,1.88,1.12
457,anorexia,3.41,1.3
458,ant,4.86,0.52
459,antacid,4.25,1.17
460,antagonism,2.33,1.27
461,antagonist,2.75,1.46
462,anteater,4.86,0.44
463,antelope,5.0,0.0
464,antenna,4.75,0.93
465,antennae,4.85,0.54
466,anthem,3.36,1.16
467,anthill,4.89,0.31
468,anthology,3.07,1.41
469,anthrax,4.44,1.15
470,anthropologist,4.0,1.31
471,anthropology,2.41,1.59
472,antiaircraft,3.48,1.53
473,antibiotic,4.43,0.84
474,antibiotics,4.45,1.09
475,antibody,3.48,1.64
476,antichrist,2.93,1.52
477,anticipation,1.93,1.21
478,anticlimax,1.81,1.14
479,anticoagulant,3.46,1.59
480,anticoagulation,2.76,1.56
481,anticommunism,1.63,0.88
482,anticommunist,2.46,1.45
483,antics,2.6,1.15
484,antidepressant,3.8,1.54
485,antidote,3.42,1.47
486,antiestablishment,2.3,1.35
487,antifeminist,2.12,1.37
488,antifreeze,4.54,0.79
489,antigovernment,1.85,0.95
490,antigravity,2.37,1.33
491,antihistamine,3.68,1.6
492,antihuman,1.58,0.88
493,antimatter,1.77,1.03
494,antioxidant,3.59,1.28
495,antipasto,3.96,1.56
496,antipathy,1.55,0.74
497,antiperspirant,4.25,0.97
498,antiques,4.22,1.15
499,antiquity,2.13,1.25
500,antiseptics,3.96,1.43
501,antithesis,2.27,1.32
502,antitoxin,3.16,1.46
503,antitrust,1.63,1.01
504,antivirus,3.5,1.55
505,antiwar,2.3,1.3
506,antler,4.86,0.44
507,antsy,2.5,1.35
508,anus,4.86,0.36
509,anvil,4.96,0.2
510,anxiety,2.21,1.03
511,anytime,1.57,1.1
512,anyways,1.59,1.08
513,aorta,4.61,0.63
514,apartment,4.9,0.41
515,apartments,4.71,0.53
516,apartness,2.35,1.02
517,apathy,2.04,1.25
518,ape,4.79,0.79
519,apex,3.41,1.5
520,aphid,4.76,0.72
521,aphrodisiac,3.19,1.47
522,aplenty,2.56,1.36
523,apnea,3.12,1.37
524,apocalypse,2.21,1.5
525,apologist,2.97,1.38
526,apology,2.86,1.67
527,apostle,3.22,1.37
528,apostrophe,3.88,1.53
529,apothecary,3.76,1.42
530,app,3.86,1.15
531,apparatus,3.78,1.2
532,apparel,4.6,0.71
533,apparition,2.46,1.26
534,appeal,1.73,1.26
535,appearance,2.57,1.62
536,appeasement,1.71,1.15
537,appeaser,1.93,1.27
538,appendage,4.26,1.06
539,appendectomy,4.42,1.14
540,appendices,3.48,1.53
541,appendicitis,3.48,1.55
542,appendix,4.25,1.14
543,appetite,2.74,1.35
544,appetizer,4.71,0.71
545,applause,4.29,0.9
546,apple,5.0,0.0
547,applecart,4.92,0.27
548,applesauce,4.96,0.19
549,appliance,4.57,0.94
550,applicability,1.69,1.07
551,applicant,4.0,1.36
552,application,3.4,1.53
553,applicator,4.26,1.2
554,appointee,3.5,1.31
555,appointment,3.0,1.29
556,appraisal,3.11,1.4
557,appraiser,3.62,1.47
558,appreciation,1.63,1.0
559,appreciator,3.0,1.38
560,apprehensibility,1.58,0.9
561,apprehension,1.68,1.06
562,apprentice,3.67,1.21
563,apprenticeship,2.7,1.56
564,approach,2.74,1.35
565,appropriateness,2.07,1.0
566,appropriation,1.96,1.31
567,approval,2.33,1.05
568,approximation,1.85,1.2
569,apricot,4.97,0.18
570,apron,4.87,0.43
571,aptitude,1.54,0.92
572,aquarian,3.62,1.39
573,aquarium,4.77,0.86
574,aquatics,3.43,1.24
575,aqueduct,4.62,0.94
576,aquifer,4.04,1.27
577,arabic,3.43,1.52
578,arachnophobia,2.59,1.43
579,arbitration,2.0,1.21
580,arbitrator,3.2,1.35
581,arcade,4.74,0.53
582,arch,4.59,0.91
583,archaeologist,4.45,0.78
584,archaeology,3.08,1.61
585,archangel,2.93,1.46
586,archbishop,4.14,1.3
587,archdeacon,4.0,1.41
588,archduchess,3.5,1.56
589,archduke,3.93,1.07
590,archenemy,3.11,1.4
591,archery,3.93,1.36
592,arches,4.3,1.03
593,archipelago,3.96,1.51
594,architect,3.74,1.1
595,architecture,3.59,1.31
596,archive,3.58,1.39
597,archives,3.93,1.31
598,archivist,3.57,1.43
599,archway,4.28,1.31
600,area,3.72,1.28
601,arena,4.83,0.47
602,areola,4.78,0.51
603,argon,3.2,1.55
604,argument,2.85,1.13
605,aridity,3.14,1.2
606,aristocracy,2.97,1.38
607,aristocrat,3.76,1.18
608,arithmetic,2.74,1.55
609,ark,4.67,0.68
610,arm,4.96,0.19
611,armada,4.04,1.34
612,armband,4.67,0.78
613,armchair,5.0,0.0
614,armful,3.43,1.43
615,armload,3.54,1.32
616,armoire,4.52,1.12
617,armor,4.76,0.51
618,armory,4.36,1.03
619,armpit,4.8,0.81
620,arms,4.97,0.18
621,army,4.7,0.6
