;base_text;output
0;black: ['switch', 'charge', 'strike'], tan: ['fall', 'march', 'scientist', 'link', 'drop', 'row', 'soul', 'check', 'spot', 'novel', 'tag', 'beat', 'boom'], targets: ['sub'];sandwich
1;black: ['switch', 'charge', 'strike'], tan: ['fall', 'march', 'scientist', 'link', 'drop', 'row', 'soul', 'check', 'spot', 'novel', 'tag', 'beat', 'boom'], targets: ['disease'];virus
2;black: ['switch', 'charge', 'strike'], tan: ['fall', 'march', 'scientist', 'link', 'drop', 'row', 'soul', 'check', 'spot', 'novel', 'tag', 'beat', 'boom'], targets: ['sound'];hear
3;black: ['switch', 'charge', 'strike'], tan: ['fall', 'march', 'scientist', 'link', 'drop', 'row', 'soul', 'check', 'spot', 'novel', 'tag', 'beat', 'boom'], targets: ['field'];football
4;black: ['switch', 'charge', 'strike'], tan: ['fall', 'march', 'scientist', 'link', 'drop', 'row', 'soul', 'check', 'spot', 'novel', 'tag', 'beat', 'boom'], targets: ['roulette'];russian
5;black: ['switch', 'charge', 'strike'], tan: ['fall', 'march', 'scientist', 'link', 'drop', 'row', 'soul', 'check', 'spot', 'tag', 'beat', 'boom'], targets: ['sub'];sandwich
6;black: ['switch', 'charge', 'strike'], tan: ['fall', 'march', 'scientist', 'link', 'drop', 'row', 'soul', 'check', 'tag', 'beat', 'boom'], targets: ['roulette'];game
7;black: ['fall', 'switch', 'roulette'], tan: ['march', 'link', 'sub', 'drop', 'disease', 'check', 'spot', 'part', 'novel', 'beat', 'strike', 'field', 'sound'], targets: ['boom'];bomb
8;black: ['fall', 'switch', 'roulette'], tan: ['march', 'link', 'sub', 'drop', 'disease', 'check', 'spot', 'part', 'novel', 'beat', 'strike', 'field', 'sound'], targets: ['tag'];name
9;black: ['fall', 'switch', 'roulette'], tan: ['march', 'link', 'sub', 'drop', 'disease', 'check', 'spot', 'part', 'novel', 'beat', 'strike', 'field', 'sound'], targets: ['charge'];electricity
10;black: ['fall', 'switch', 'roulette'], tan: ['march', 'link', 'sub', 'drop', 'disease', 'check', 'spot', 'part', 'novel', 'beat', 'strike', 'field', 'sound'], targets: ['revolution'];history
