;base_text;output
0;remaining: ['spot', 'charge', 'novel', 'sound', 'march', 'scientist', 'drop', 'beat', 'soul', 'green', 'field', 'boom', 'part', 'check', 'strike', 'link', 'roulette', 'row', 'disease', 'sub', 'revolution', 'fall', 'switch', 'ray', 'tag'], hint: sandwich;green
1;remaining: ['spot', 'charge', 'novel', 'sound', 'march', 'scientist', 'drop', 'beat', 'soul', 'field', 'boom', 'part', 'check', 'strike', 'link', 'roulette', 'row', 'disease', 'sub', 'revolution', 'fall', 'switch', 'ray', 'tag'], hint: virus;disease
2;remaining: ['spot', 'charge', 'novel', 'sound', 'march', 'scientist', 'drop', 'beat', 'soul', 'field', 'boom', 'part', 'check', 'strike', 'link', 'roulette', 'row', 'sub', 'revolution', 'fall', 'switch', 'ray', 'tag'], hint: hear;sound
3;remaining: ['spot', 'charge', 'novel', 'march', 'scientist', 'drop', 'beat', 'soul', 'field', 'boom', 'part', 'check', 'strike', 'link', 'roulette', 'row', 'sub', 'revolution', 'fall', 'switch', 'ray', 'tag'], hint: football;field
4;remaining: ['spot', 'charge', 'novel', 'march', 'scientist', 'drop', 'beat', 'soul', 'boom', 'part', 'check', 'strike', 'link', 'roulette', 'row', 'sub', 'revolution', 'fall', 'switch', 'ray', 'tag'], hint: russian;novel
5;remaining: ['spot', 'charge', 'march', 'scientist', 'drop', 'beat', 'soul', 'boom', 'part', 'check', 'strike', 'link', 'roulette', 'row', 'sub', 'revolution', 'fall', 'switch', 'ray', 'tag'], hint: sandwich;spot
6;remaining: ['soul', 'check', 'strike', 'link', 'roulette', 'sub', 'revolution', 'charge', 'march', 'scientist', 'drop', 'beat', 'boom', 'part', 'row', 'fall', 'switch', 'ray', 'tag'], hint: game;strike
7;remaining: ['spot', 'charge', 'novel', 'sound', 'march', 'scientist', 'drop', 'beat', 'soul', 'green', 'field', 'boom', 'part', 'check', 'strike', 'link', 'roulette', 'row', 'disease', 'sub', 'revolution', 'fall', 'switch', 'ray', 'tag'], hint: bomb;boom
8;remaining: ['spot', 'charge', 'novel', 'sound', 'march', 'scientist', 'drop', 'beat', 'soul', 'green', 'field', 'part', 'check', 'strike', 'link', 'roulette', 'row', 'disease', 'sub', 'revolution', 'fall', 'switch', 'ray', 'tag'], hint: name;tag
9;remaining: ['spot', 'charge', 'novel', 'sound', 'march', 'scientist', 'drop', 'beat', 'soul', 'green', 'field', 'part', 'check', 'strike', 'link', 'roulette', 'row', 'disease', 'sub', 'revolution', 'fall', 'switch', 'ray'], hint: electricity;charge
10;remaining: ['spot', 'novel', 'sound', 'march', 'scientist', 'drop', 'beat', 'soul', 'green', 'field', 'part', 'check', 'strike', 'link', 'roulette', 'row', 'disease', 'sub', 'revolution', 'fall', 'switch', 'ray'], hint: history;revolution
11;remaining: ['spot', 'novel', 'sound', 'march', 'scientist', 'drop', 'beat', 'soul', 'green', 'field', 'part', 'check', 'strike', 'link', 'roulette', 'row', 'disease', 'sub', 'fall', 'switch', 'ray'], hint: human;soul
12;remaining: ['spot', 'novel', 'sound', 'march', 'scientist', 'drop', 'beat', 'green', 'field', 'part', 'check', 'strike', 'link', 'roulette', 'row', 'disease', 'sub', 'fall', 'switch', 'ray'], hint: arrange;row
13;remaining: ['sound', 'green', 'check', 'strike', 'link', 'roulette', 'disease', 'sub', 'spot', 'novel', 'march', 'scientist', 'drop', 'beat', 'field', 'part', 'fall', 'switch', 'ray'], hint: invention;scientist
14;remaining: ['death', 'tag', 'cast', 'match', 'code', 'fighter', 'king', 'scientist', 'soul', 'agent', 'poison', 'field', 'unicorn', 'mine', 'luck', 'well', 'stock', 'pitch', 'roulette', 'row', 'opera', 'lap', 'disease', 'cover', 'day'], hint: fairytale;king, unicorn
15;remaining: ['death', 'tag', 'cast', 'match', 'code', 'fighter', 'scientist', 'soul', 'agent', 'poison', 'field', 'mine', 'luck', 'well', 'stock', 'pitch', 'roulette', 'row', 'opera', 'lap', 'disease', 'cover', 'day'], hint: baseball;pitch, lap
16;remaining: ['death', 'tag', 'cast', 'match', 'code', 'fighter', 'scientist', 'soul', 'agent', 'poison', 'field', 'mine', 'luck', 'well', 'stock', 'roulette', 'row', 'opera', 'disease', 'cover', 'day'], hint: investment;stock
